Treatment Plant,Date,Virus,Normalised Viral Load (gc/person/day),7-day Median Viral Load (gc/person/day),Rt estimate,Estimate lower bound,Estimate upper bound
Switzerland,2023-11-05,RSV-N,1588154.59219409,1266293.95737611,1.38877454616185,1.20679662140589,1.60115725301897
Switzerland,2023-11-06,RSV-N,2110454.84575487,1452941.69715768,1.38753158963561,1.20754908422686,1.5997492705356
Switzerland,2023-11-07,RSV-N,1266293.95737611,1588154.59219409,1.38611890510797,1.20697934915811,1.59649558931481
Switzerland,2023-11-08,RSV-N,1099523.48608094,2110454.84575487,1.38453299693314,1.20767205087718,1.59456945490652
Switzerland,2023-11-09,RSV-N,3413131.14916201,2731695.9538581,1.38277295086492,1.20749807744095,1.59135370083032
Switzerland,2023-11-10,RSV-N,2731695.9538581,2745617.95228014,1.38083309762614,1.20629662862254,1.58895309744668
Switzerland,2023-11-11,RSV-N,3706565.25116704,3413131.14916201,1.37868888777611,1.20528769991663,1.58708545697557
Switzerland,2023-11-12,RSV-N,2745617.95228014,3413131.14916201,1.37631085610173,1.20403673716814,1.58393631922063
Switzerland,2023-11-13,RSV-N,3863881.04184981,3104541.60415387,1.37366547408306,1.20192671327606,1.58191386953548
Switzerland,2023-11-14,RSV-N,9029478.94497823,3104541.60415387,1.37070072314805,1.20063817019058,1.57834714964704
Switzerland,2023-11-15,RSV-N,3104541.60415387,3104541.60415387,1.36736010148736,1.19817338714395,1.57292851468786
Switzerland,2023-11-16,RSV-N,1099386.19715672,3132132.78590877,1.36359338560669,1.19519085047475,1.56841900564174
Switzerland,2023-11-17,RSV-N,2205729.70185565,3132132.78590877,1.35937634075841,1.19094992957965,1.56363655456768
Switzerland,2023-11-18,RSV-N,3132132.78590877,3104541.60415387,1.3546913147582,1.18420166908319,1.55885855468206
Switzerland,2023-11-19,RSV-N,5017733.76604641,3132132.78590877,1.34951784340634,1.17951702476362,1.55179772146989
Switzerland,2023-11-20,RSV-N,3232589.52175557,3232589.52175557,1.34382174703931,1.17515967632393,1.54516186336676
Switzerland,2023-11-21,RSV-N,2761682.31190352,3363814.86005177,1.33756522752899,1.16906575469332,1.53423205054504
Switzerland,2023-11-22,RSV-N,3363814.86005177,4922772.00878169,1.33072942536401,1.16452054417566,1.52603687388996
Switzerland,2023-11-23,RSV-N,6805399.04896271,4922772.00878169,1.32337116558625,1.15800446471884,1.5120386937686
Switzerland,2023-11-24,RSV-N,4922772.00878169,6805399.04896271,1.31556695410384,1.15081418330378,1.50021773403931
Switzerland,2023-11-25,RSV-N,6824080.97250504,6821282.74720521,1.3073857225474,1.14517036145449,1.48880826768998
Switzerland,2023-11-26,RSV-N,26378773.2596367,6821282.74720521,1.2988684461245,1.13788314718945,1.47992231363742
