Treatment Plant,Date,Virus,Normalised Viral Load (gc/person/day),7-day Median Viral Load (gc/person/day),Rt estimate,Estimate lower bound,Estimate upper bound
Switzerland,2023-05-19,IBV-M,962597.7,692310.905853658,0.946900067260163,0.822659660373984,1.07686625154472
Switzerland,2023-05-20,IBV-M,696421.713658537,692310.905853658,0.949882623560976,0.825541374739837,1.08064649390244
Switzerland,2023-05-21,IBV-M,761742.97003252,692310.905853658,0.952883496146342,0.830653412894309,1.08675407138211
Switzerland,2023-05-22,IBV-M,577779.893762887,729082.341845528,0.955884493365854,0.832513200699187,1.09300352731707
Switzerland,2023-05-23,IBV-M,382552.109871134,696421.713658537,0.958866924357724,0.833598873463415,1.0975029900813
Switzerland,2023-05-24,IBV-M,NA,761742.97003252,0.961811698593496,0.836378202845529,1.10387251617886
Switzerland,2023-05-25,IBV-M,1393437.28801626,577779.893762887,0.964702914780488,0.83858492004878,1.10688278536585
Switzerland,2023-05-26,IBV-M,NA,574103.691495935,0.967537899463415,0.841389910292683,1.11277412308943
Switzerland,2023-05-27,IBV-M,1102442.4784065,1041870.56830081,0.970319741121951,0.842501430219512,1.11716156577236
Switzerland,2023-05-28,IBV-M,574103.691495935,1041870.56830081,0.973051945121951,0.84437186299187,1.12083028325203
Switzerland,2023-05-29,IBV-M,347520.426569106,574103.691495935,0.975737401707317,0.846109273902439,1.12488015764228
Switzerland,2023-05-30,IBV-M,1041870.56830081,574103.691495935,0.97837866904065,0.849856269065041,1.12967285235772
Switzerland,2023-05-31,IBV-M,NA,359491.305203252,0.980977855569106,0.851731601674797,1.12950836292683
Switzerland,2023-06-01,IBV-M,359491.305203252,359491.305203252,0.983531110081301,0.85335768,1.13218757300813
Switzerland,2023-06-02,IBV-M,NA,544936.10904065,0.986008477121951,0.857107578422764,1.13423438821138
Switzerland,2023-06-03,IBV-M,246582.490325203,359491.305203252,0.988369752471545,0.858846633252033,1.13922060593496
Switzerland,2023-06-04,IBV-M,544936.10904065,359491.305203252,0.990573065552846,0.862238118390244,1.14361605
Switzerland,2023-06-05,IBV-M,1079227.01137887,544936.10904065,0.992576316130081,0.864596205626016,1.14720129203252
Switzerland,2023-06-06,IBV-M,172047.828479675,544936.10904065,0.994336927203252,0.866928656341463,1.14818636056911
Switzerland,2023-06-07,IBV-M,NA,544936.10904065,0.995811905317073,0.868276059715447,1.14829498317073
Switzerland,2023-06-08,IBV-M,3888155.95268293,584974.386910569,0.996965960195122,0.868982504081301,1.14893664081301
Switzerland,2023-06-09,IBV-M,NA,584974.386910569,0.997795991138211,0.869514937528455,1.14908227666667
Switzerland,2023-06-10,IBV-M,357107.960178862,766726.127300813,0.998315574398374,0.870309886146342,1.14789877308943
Switzerland,2023-06-11,IBV-M,584974.386910569,766726.127300813,0.998540012544716,0.869986683479675,1.14578522373984
Switzerland,2023-06-12,IBV-M,2253318.19699187,766726.127300813,0.998484510910569,0.870751325227642,1.14834692138211
Switzerland,2023-06-13,IBV-M,766726.127300813,766726.127300813,0.998163889756098,0.868047011479675,1.14800940813008
Switzerland,2023-06-14,IBV-M,NA,1081680.60845528,0.997592606544715,0.867307556926829,1.14593855886179
Switzerland,2023-06-15,IBV-M,1163013.7664878,1163013.7664878,0.996789138861788,0.867122739723577,1.14478079707317
Switzerland,2023-06-16,IBV-M,NA,1163013.7664878,0.99578740101626,0.865615641414634,1.14214203089431
Switzerland,2023-06-17,IBV-M,1081680.60845528,1163013.7664878,0.994623511219512,0.865281621439024,1.14009967569106
Switzerland,2023-06-18,IBV-M,1893872.77796748,1163013.7664878,0.993332830788618,0.86261408596748,1.13790792642276
Switzerland,2023-06-19,IBV-M,1370407.66987805,1226044.13916667,0.991950315715447,0.860135904845528,1.13696470756098
Switzerland,2023-06-20,IBV-M,771634.244065041,1226044.13916667,0.990510285934959,0.857713917951219,1.13732040634146
Switzerland,2023-06-21,IBV-M,NA,1370407.66987805,0.989046715585366,0.856057482764228,1.13442377723577
Switzerland,2023-06-22,IBV-M,NA,1071020.95697154,0.987589005235772,0.855478637138211,1.13297751926829
Switzerland,2023-06-23,IBV-M,NA,771634.244065041,0.98614865400813,0.855200852195122,1.13170204577236
Switzerland,2023-06-24,IBV-M,NA,NA,0.984733926585366,0.854143406544715,1.13106079422764
Switzerland,2023-06-25,IBV-M,NA,NA,0.983352828325203,0.852830777617886,1.12951508130081
Switzerland,2023-06-26,IBV-M,NA,NA,0.982013262227642,0.850161618617886,1.12694240837398
Switzerland,2023-06-27,IBV-M,NA,NA,0.980722254227642,0.848173286252032,1.12740090804878
Switzerland,2023-06-28,IBV-M,NA,NA,0.97948666004065,0.845597501886179,1.12386485439024
Switzerland,2023-06-29,IBV-M,NA,NA,0.978313419821138,0.842469517447154,1.12246065105691
Switzerland,2023-06-30,IBV-M,NA,NA,0.97721060304065,0.842135368707317,1.12356875317073
Switzerland,2023-07-01,IBV-M,NA,NA,0.976184855398374,0.840492295772358,1.12357289227642
Switzerland,2023-07-02,IBV-M,NA,NA,0.975242331617886,0.838796374089431,1.12263938593496
Switzerland,2023-07-03,IBV-M,NA,NA,0.97438844095935,0.838558254910569,1.12114442764228
Switzerland,2023-07-04,IBV-M,NA,NA,0.973628148211382,0.837684880390244,1.12220219658537
Switzerland,2023-07-05,IBV-M,NA,NA,0.972965702796748,0.837137230186992,1.12098935707317
Switzerland,2023-07-06,IBV-M,NA,NA,0.972402438666667,0.83449269996748,1.12125010471545
Switzerland,2023-07-07,IBV-M,NA,611444.122733881,0.971929523154472,0.834175908666667,1.12112383837398
Switzerland,2023-07-08,IBV-M,NA,414556.282716055,0.971541845845529,0.833010233495935,1.12144395707317
Switzerland,2023-07-09,IBV-M,NA,611444.122733881,0.97123565497561,0.832318691723577,1.12324605821138
Switzerland,2023-07-10,IBV-M,611444.122733881,504716.991438388,0.971006703495935,0.829497580065041,1.12329121626016
Switzerland,2023-07-11,IBV-M,217668.442698229,442954.92298059,0.970849958926829,0.82803379500813,1.12453708170732
Switzerland,2023-07-12,IBV-M,1182421.34518013,527199.522857235,0.97076028097561,0.827826414373984,1.12518587365854
Switzerland,2023-07-13,IBV-M,397989.860142896,611444.122733881,0.970733183739837,0.826803189105691,1.12619738065041
Switzerland,2023-07-14,IBV-M,442954.92298059,442954.92298059,0.970767256682927,0.827258748658537,1.12505179357724
Switzerland,2023-07-15,IBV-M,898271.913872181,442954.92298059,0.970854091146342,0.828703967252033,1.12417646357724
Switzerland,2023-07-16,IBV-M,779049.739940669,442954.92298059,0.970983088853658,0.827182406,1.12392266788618
Switzerland,2023-07-17,IBV-M,334037.745593865,751713.228805075,0.971143016260163,0.825766591422764,1.1243393195122
Switzerland,2023-07-18,IBV-M,348075.954217452,751713.228805075,0.971322121252032,0.82696792895122,1.1252962003252
Switzerland,2023-07-19,IBV-M,751713.228805075,751713.228805075,1.00628974501856,0.846998646150552,1.18194999781558
Switzerland,2023-07-20,IBV-M,2106982.41611561,459414.990167161,1.028684105899,0.855091058583416,1.22762028616769
Switzerland,2023-07-21,IBV-M,459414.990167161,751713.228805075,1.02825298244971,0.858119468506949,1.22518983517873
Switzerland,2023-07-22,IBV-M,1559344.10238479,1168519.91879548,1.02779402713795,0.858225570787277,1.22257662408911
Switzerland,2023-07-23,IBV-M,372963.586358345,1559344.10238479,1.02733173858873,0.857364990827194,1.21998943014576
Switzerland,2023-07-24,IBV-M,3648577.15236592,1168519.91879548,1.02689001850709,0.8570819547701,1.21715148826304
Switzerland,2023-07-25,IBV-M,1168519.91879548,1168519.91879548,1.02649193853724,0.857246946169611,1.2155866679151
Switzerland,2023-07-26,IBV-M,3824628.07705608,976215.400107305,1.02615984783249,0.85798944990926,1.21356684678568
Switzerland,2023-07-27,IBV-M,698231.384226659,976215.400107305,1.0257405710893,0.8582342674236,1.21102150470277
Switzerland,2023-07-28,IBV-M,542803.441020304,854452.056269443,1.02554533904956,0.858635763702225,1.20985641540273
Switzerland,2023-07-29,IBV-M,976215.400107305,854452.056269443,1.02540412847522,0.859681676307103,1.20872579747329
Switzerland,2023-07-30,IBV-M,854452.056269443,741882.679071192,1.02532397535974,0.860139695621125,1.20731068853869
Switzerland,2023-07-31,IBV-M,330271.780742919,741882.679071192,1.02531123759602,0.861083153875776,1.20687459235419
Switzerland,2023-08-01,IBV-M,1253151.13292886,741882.679071192,1.02537149825518,0.862123466092684,1.20725024718587
Switzerland,2023-08-02,IBV-M,741882.679071192,531909.488018209,1.02551001854688,0.860286567199802,1.20621006876871
Switzerland,2023-08-03,IBV-M,530879.794398945,531909.488018209,1.0257273724446,0.860252660369162,1.20708659640355
Switzerland,2023-08-04,IBV-M,374241.701456018,572227.222521622,1.02600499477444,0.860513851407312,1.20825291542505
Switzerland,2023-08-05,IBV-M,531909.488018209,531909.488018209,1.02631162315622,0.86149863775918,1.20956218674381
Switzerland,2023-08-06,IBV-M,1143339.02057579,531909.488018209,1.02661386640982,0.861387972998168,1.21130965744073
Switzerland,2023-08-07,IBV-M,572227.222521622,531909.488018209,1.02687760973156,0.861116408710365,1.21340534629804
Switzerland,2023-08-08,IBV-M,277075.579212696,572227.222521622,1.01793898283207,0.858461306454536,1.19429888927098
Switzerland,2023-08-09,IBV-M,1150445.49023859,699852.911631222,1.02423973866724,0.868522067817783,1.1974843901323
Switzerland,2023-08-10,IBV-M,531029.698764249,699852.911631222,1.06402695356368,0.910627592312276,1.24073591294182
Switzerland,2023-08-11,IBV-M,699852.911631222,699852.911631222,1.05344034053712,0.908201277353953,1.21834761912459
Switzerland,2023-08-12,IBV-M,1187694.16064815,730227.788906591,1.05337937919169,0.90838710526924,1.21798597165014
Switzerland,2023-08-13,IBV-M,1251287.82231053,699852.911631222,1.05332156353104,0.907920004795678,1.21819167066469
Switzerland,2023-08-14,IBV-M,184261.872328063,730227.788906591,1.05326741079441,0.908502465329958,1.2166532040041
Switzerland,2023-08-15,IBV-M,730227.788906591,730227.788906591,1.04114907718017,0.889692155169652,1.20556259967807
Switzerland,2023-08-16,IBV-M,198390.164143889,519660.755801964,1.04445680138386,0.895245688287871,1.20872089274299
Switzerland,2023-08-17,IBV-M,1643819.59523875,519660.755801964,1.04445641267097,0.895504410221075,1.20738187616978
Switzerland,2023-08-18,IBV-M,410479.282790371,519660.755801964,1.04446962142479,0.896256069615579,1.2050197804131
Switzerland,2023-08-19,IBV-M,519660.755801964,519660.755801964,1.04449785254282,0.89763527689614,1.20320513579184
Switzerland,2023-08-20,IBV-M,547095.124432459,519660.755801964,1.0296535155784,0.877040725457085,1.19064964373465
Switzerland,2023-08-21,IBV-M,385808.349507506,519660.755801964,1.0300006934577,0.879890855896226,1.18942009448959
Switzerland,2023-08-22,IBV-M,606974.433885195,547095.124432459,1.02361733897482,0.855963796995023,1.18669957022281
Switzerland,2023-08-23,IBV-M,374611.388432085,606974.433885195,1.03439591454692,0.868588864802502,1.20317422951789
Switzerland,2023-08-24,IBV-M,857187.499073431,694445.966378454,1.03571248784426,0.87136721495605,1.20326024286587
Switzerland,2023-08-25,IBV-M,694445.966378454,857187.499073431,1.0361420839928,0.874095762582979,1.2024877361904
Switzerland,2023-08-26,IBV-M,1982618.66243222,857187.499073431,1.03663480420235,0.876665402801996,1.20200871101673
Switzerland,2023-08-27,IBV-M,1282213.90504752,857187.499073431,1.03719510645035,0.879423331570816,1.20249593912679
Switzerland,2023-08-28,IBV-M,963552.113785817,845089.709489283,1.03782643535043,0.88165239211213,1.20181519981927
Switzerland,2023-08-29,IBV-M,845089.709489283,845089.709489283,1.03621193006121,0.8715331445606,1.20470046364241
Switzerland,2023-08-30,IBV-M,500048.839301192,500048.839301192,1.03505439855755,0.868723867153357,1.20127161695358
Switzerland,2023-08-31,IBV-M,217033.216285762,359164.688826905,1.03073439409793,0.863743377775956,1.19261991694484
Switzerland,2023-09-01,IBV-M,248763.440677061,295019.0889911,1.04895946211904,0.885791438259581,1.21760790906374
Switzerland,2023-09-02,IBV-M,295019.0889911,295019.0889911,1.0494946789589,0.887799076198336,1.21698208049704
Switzerland,2023-09-03,IBV-M,359164.688826905,248763.440677061,1.0501055801796,0.889912138616774,1.21597753320905
Switzerland,2023-09-04,IBV-M,215065.706953102,248763.440677061,1.05079448623211,0.892536703824335,1.21474272941337
Switzerland,2023-09-05,IBV-M,446046.530064325,295019.0889911,1.05155740759943,0.895700193246317,1.21447443875296
Switzerland,2023-09-06,IBV-M,83214.799734821,316499.286082159,1.05238864693949,0.899158186431283,1.21404205568672
Switzerland,2023-09-07,IBV-M,184135.944919942,316499.286082159,1.05328247755001,0.902713639893485,1.2126455175673
Switzerland,2023-09-08,IBV-M,316499.286082159,316499.286082159,1.05423308561966,0.905423977003186,1.21206921050369
Switzerland,2023-09-09,IBV-M,595602.439529025,184135.944919942,1.05523475483137,0.908386249643921,1.21157585456196
Switzerland,2023-09-10,IBV-M,416239.046286838,316499.286082159,1.05628101370552,0.911826276369814,1.21093338045683
Switzerland,2023-09-11,IBV-M,153944.437206437,416239.046286838,1.0573633782093,0.915271079544491,1.21069204448221
Switzerland,2023-09-12,IBV-M,175072.682725235,446692.648916843,1.09922130515251,0.959599010427786,1.26887751640657
Switzerland,2023-09-13,IBV-M,618523.897534411,416239.046286838,1.1100141139592,0.965468698617116,1.29322489441159
Switzerland,2023-09-14,IBV-M,446692.648916843,396715.517418409,1.1164547668028,0.973038176220225,1.3049353862272
Switzerland,2023-09-15,IBV-M,521414.875368003,446692.648916843,1.11632223959927,0.974287071608878,1.30215683125601
Switzerland,2023-09-16,IBV-M,396715.517418409,477920.735884647,1.11614298658137,0.97540250922108,1.29992741466661
Switzerland,2023-09-17,IBV-M,293528.917079717,471146.983905075,1.11591012528907,0.976557578249094,1.29808387013863
Switzerland,2023-09-18,IBV-M,477920.735884647,477920.735884647,1.11561812053797,0.977820308708965,1.29617107722737
Switzerland,2023-09-19,IBV-M,739643.686640002,477920.735884647,1.11526135372148,0.979313037729618,1.29230740301072
Switzerland,2023-09-20,IBV-M,471146.983905075,604862.684685206,1.11483428673109,0.980267266163057,1.28962731203498
Switzerland,2023-09-21,IBV-M,1055712.3647894,604862.684685206,1.11433123571062,0.98085588215622,1.28797063882198
Switzerland,2023-09-22,IBV-M,1122776.68619411,604862.684685206,1.11374623646063,0.981336136953614,1.28595594620113
Switzerland,2023-09-23,IBV-M,604862.684685206,604862.684685206,1.11307371448378,0.982364273104596,1.28435968753168
Switzerland,2023-09-24,IBV-M,410052.388148814,1055712.3647894,1.11230790140015,0.982975362468235,1.28003300156398
Switzerland,2023-09-25,IBV-M,213247.468237153,1122776.68619411,1.11144648574656,0.982699015868585,1.27677416063362
Switzerland,2023-09-26,IBV-M,1342816.23421323,1121495.94300744,1.09276926324799,0.959569616634331,1.25591282322922
Switzerland,2023-09-27,IBV-M,2691299.57154399,1342816.23421323,1.10676493320476,0.95805852775897,1.29584659552976
Switzerland,2023-09-28,IBV-M,2181479.11330561,1960834.65535627,1.10659444788807,0.958013966719998,1.29481241353996
Switzerland,2023-09-29,IBV-M,1121495.94300744,1960834.65535627,1.10632547610863,0.958548623649118,1.29322993267491
Switzerland,2023-09-30,IBV-M,6374501.42282198,2181479.11330561,1.10591682220177,0.959083355615792,1.29030257448361
Switzerland,2023-10-01,IBV-M,1960834.65535627,1960834.65535627,1.10535086307635,0.959817075588574,1.28839002073419
Switzerland,2023-10-02,IBV-M,1330909.05785329,1960834.65535627,1.10454661781357,0.95968360334425,1.28502141620469
Switzerland,2023-10-03,IBV-M,3029417.41419942,1960834.65535627,1.10852761216764,0.951382616310894,1.30006060892847
Switzerland,2023-10-04,IBV-M,1124670.12587901,1960834.65535627,1.10762081999286,0.951245639916657,1.29703453814665
Switzerland,2023-10-05,IBV-M,2048224.66930957,1922393.48872235,1.10654746698298,0.95218881594945,1.29397804078605
Switzerland,2023-10-06,IBV-M,377230.71987288,2048224.66930957,1.10531156178035,0.953507844680361,1.28891848091352
Switzerland,2023-10-07,IBV-M,2054338.94421332,1922393.48872235,1.10392730032408,0.9549910457715,1.28310770553564
Switzerland,2023-10-08,IBV-M,1922393.48872235,1922393.48872235,1.10241138466241,0.956075498766174,1.27706049829207
Switzerland,2023-10-09,IBV-M,2507930.93108628,976649.39522119,1.10077836340808,0.9572104573821,1.27243927054837
Switzerland,2023-10-10,IBV-M,976649.39522119,1194844.57800598,1.09903903817367,0.958541248780196,1.267763665372
Switzerland,2023-10-11,IBV-M,525823.788686473,1194844.57800598,1.06826482558576,0.917382919995055,1.23691287180299
Switzerland,2023-10-12,IBV-M,383097.654717442,976649.39522119,1.06793210644887,0.918312789685866,1.23456296109251
Switzerland,2023-10-13,IBV-M,1194844.57800598,976649.39522119,1.06756243489083,0.919580251417447,1.23235186361094
Switzerland,2023-10-14,IBV-M,1275766.78582414,1194844.57800598,1.06717595871793,0.922554897879027,1.2297903300443
Switzerland,2023-10-15,IBV-M,892349.938201185,1275766.78582414,1.0667909378377,0.924666659401278,1.2264909317011
Switzerland,2023-10-16,IBV-M,3339027.66483284,1275766.78582414,1.06641979039789,0.926293422030794,1.22299401016996
Switzerland,2023-10-17,IBV-M,1617288.76331023,1510452.01666476,1.05992174338814,0.915851796552132,1.22554262954506
Switzerland,2023-10-18,IBV-M,1510452.01666476,1617288.76331023,1.0601708454666,0.917479407703483,1.22524941330395
Switzerland,2023-10-19,IBV-M,1060966.03353816,1617288.76331023,1.06047501004926,0.920700820980665,1.22348512393908
Switzerland,2023-10-20,IBV-M,2588346.96733226,1617288.76331023,1.06082804499157,0.92280538780937,1.22207339315018
Switzerland,2023-10-21,IBV-M,2059144.64612688,1629212.82682152,1.06121440991853,0.92549424553367,1.22121002076208
Switzerland,2023-10-22,IBV-M,1505814.65818378,1629212.82682152,1.06161604055617,0.927755418855223,1.21886920929633
Switzerland,2023-10-23,IBV-M,1629212.82682152,2056340.38115926,1.06201682909113,0.930447932391517,1.21710458603171
Switzerland,2023-10-24,IBV-M,3055295.27751498,1629212.82682152,1.06240819025383,0.933600505490044,1.21513910343033
Switzerland,2023-10-25,IBV-M,956592.530548939,1505814.65818378,1.06278407392858,0.935993440728102,1.21369998384455
Switzerland,2023-10-26,IBV-M,2056340.38115926,1468559.01540484,1.06313657164779,0.939737706702844,1.21014464582005
Switzerland,2023-10-27,IBV-M,1152771.6121596,1468559.01540484,1.06345317265481,0.941755190667353,1.20732729869323
Switzerland,2023-10-28,IBV-M,1275770.79826317,1468559.01540484,1.06372045376551,0.943653587177269,1.2055537288963
Switzerland,2023-10-29,IBV-M,1468559.01540484,1468559.01540484,1.06392535963427,0.946170886885469,1.20503560277359
Switzerland,2023-10-30,IBV-M,4138735.31157804,1468559.01540484,1.064054789609,0.947485872270505,1.20449311897461
Switzerland,2023-10-31,IBV-M,2394577.97789491,1468559.01540484,1.06409531221183,0.94869429522402,1.20254834662385
Switzerland,2023-11-01,IBV-M,762307.779352015,2181521.89591977,1.06403268644257,0.950058422424267,1.20091889994299
Switzerland,2023-11-02,IBV-M,2181521.89591977,2181521.89591977,1.06385304861617,0.950527527085686,1.20040143219289
Switzerland,2023-11-03,IBV-M,989979.182956891,1554282.27244193,1.06354329528819,0.950630598759742,1.19934753496306
Switzerland,2023-11-04,IBV-M,2322978.9660691,1066845.41467168,1.06308834221741,0.951064886949078,1.19913954653828
Switzerland,2023-11-05,IBV-M,1066845.41467168,1131593.9942658,1.06246381984339,0.951111749368988,1.19846201785791
Switzerland,2023-11-06,IBV-M,1554282.27244193,1131593.9942658,1.06164253532769,0.95068998498431,1.19750376654008
Switzerland,2023-11-07,IBV-M,705799.634991229,1554282.27244193,1.06060076305106,0.950627721873967,1.1948422551387
Switzerland,2023-11-08,IBV-M,1131593.9942658,1554282.27244193,1.05932923695303,0.949988477242284,1.1918370764277
Switzerland,2023-11-09,IBV-M,3617483.76109248,2013236.88446893,1.05782274683799,0.949731116527898,1.18868484868922
Switzerland,2023-11-10,IBV-M,2013236.88446893,2766172.77941845,1.0560801582309,0.949116885691002,1.18543118986508
Switzerland,2023-11-11,IBV-M,2766172.77941845,3493077.1027342,1.05411485219172,0.948629962392513,1.18068591395322
Switzerland,2023-11-12,IBV-M,3493077.1027342,3617483.76109248,1.05194377568689,0.946691809292536,1.17599610870999
Switzerland,2023-11-13,IBV-M,4629207.18374734,3493077.1027342,1.04958154129438,0.944848306968276,1.17199162080805
Switzerland,2023-11-14,IBV-M,7715533.69229207,3493077.1027342,1.04703475558389,0.943147863846383,1.16762907512399
Switzerland,2023-11-15,IBV-M,7458411.04109419,4005826.82738353,1.04430832740287,0.941369886559197,1.1629756332942
Switzerland,2023-11-16,IBV-M,3146169.44182805,4009997.96042059,1.04141073384489,0.939372599707341,1.15816105435236
Switzerland,2023-11-17,IBV-M,3458518.88963444,4005826.82738353,1.03836156867232,0.936106546952342,1.15537471767028
Switzerland,2023-11-18,IBV-M,4005826.82738353,3458518.88963444,1.03518300612816,0.932352700820038,1.15139914127482
Switzerland,2023-11-19,IBV-M,4009997.96042059,3146169.44182805,1.0319003223655,0.92902886297332,1.14805593040332
Switzerland,2023-11-20,IBV-M,2242628.0981602,3458518.88963444,1.02855142710244,0.924498563745978,1.14337098027533
Switzerland,2023-11-21,IBV-M,2776289.76266127,3237480.06979439,1.02517696954488,0.920504054987732,1.1393291309348
Switzerland,2023-11-22,IBV-M,2927957.42934197,3237480.06979439,1.0218136083689,0.916395664404805,1.13487696530723
Switzerland,2023-11-23,IBV-M,5169399.02685044,3237480.06979439,1.01848515296191,0.913487554363703,1.13123447163068
Switzerland,2023-11-24,IBV-M,3237480.06979439,3353646.60521022,1.0152128014822,0.911456240961315,1.1268178237515
Switzerland,2023-11-25,IBV-M,3353646.60521022,3703764.94608333,1.0120189994274,0.908763072009314,1.12196736804445
Switzerland,2023-11-26,IBV-M,3703764.94608333,3703764.94608333,1.00893167210494,0.904347577896437,1.11792342371865
Switzerland,2023-11-27,IBV-M,6624046.40867434,3703764.94608333,1.00597999331405,0.900249440608581,1.11513277429271
Switzerland,2023-11-28,IBV-M,7341274.62503547,4234499.98828422,1.00319260761639,0.896529455309713,1.11194991477802
Switzerland,2023-11-29,IBV-M,2603272.55177259,4910289.92687709,1.00059636873898,0.893056714345855,1.10935421634359
Switzerland,2023-11-30,IBV-M,4234499.98828422,4910289.92687709,0.998217437221523,0.889194682828539,1.10680782155832
Switzerland,2023-12-01,IBV-M,7992118.1268058,4542295.02594519,0.996077784676045,0.886436008433353,1.1054703458746
Switzerland,2023-12-02,IBV-M,4910289.92687709,4234499.98828422,0.994180876391432,0.882959941517923,1.10391884647228
Switzerland,2023-12-03,IBV-M,4542295.02594519,4234499.98828422,0.99252527693052,0.881137029616305,1.10218164439435
Switzerland,2023-12-04,IBV-M,4127534.48314903,4127534.48314903,0.991108133035796,0.879063874884855,1.10044862784408
Switzerland,2023-12-05,IBV-M,2843119.23390448,2843119.23390448,0.989923889676277,0.877194186545608,1.09887209562595
Switzerland,2023-12-06,IBV-M,1971962.21874103,2843119.23390448,0.988966456044359,0.877218957211879,1.09808060487058
Switzerland,2023-12-07,IBV-M,2140226.5167293,2140226.5167293,0.988225706161469,0.876169987335966,1.09752447124086
Switzerland,2023-12-08,IBV-M,1658458.96104822,2140226.5167293,0.98767748639956,0.875264996082488,1.09669840768489
Switzerland,2023-12-09,IBV-M,6580142.25966358,2140226.5167293,0.987294328166108,0.875110696718787,1.09642178352038
Switzerland,2023-12-10,IBV-M,1973126.11051753,2140226.5167293,0.98704913529919,0.877296098391944,1.09607550041526
Switzerland,2023-12-11,IBV-M,3182098.08033405,3149885.21311805,0.986916009663414,0.876777117696796,1.09642415228051
Switzerland,2023-12-12,IBV-M,3149885.21311805,3149885.21311805,0.98686912841555,0.876808017626618,1.09639227932277
Switzerland,2023-12-13,IBV-M,2105722.89129686,3141949.97617199,0.98688895099529,0.876791993122848,1.09564378391081
Switzerland,2023-12-14,IBV-M,3513758.16400286,3141949.97617199,0.986978224624573,0.875597622089755,1.09570121812125
Switzerland,2023-12-15,IBV-M,3141949.97617199,2739140.29250218,0.987145555655842,0.875291329766741,1.09585416412188
Switzerland,2023-12-16,IBV-M,2004716.87353001,2126910.4979241,0.987396455093946,0.874525066198663,1.09640608691014
Switzerland,2023-12-17,IBV-M,2739140.29250218,2739140.29250218,0.987724278978161,0.875064067383091,1.09850386530666
Switzerland,2023-12-18,IBV-M,2126910.4979241,2739140.29250218,0.988119097747666,0.876014441046252,1.09986180999801
Switzerland,2023-12-19,IBV-M,1768476.0435407,2739140.29250218,0.988572322984886,0.875491362072908,1.10083606519826
Switzerland,2023-12-20,IBV-M,3624245.71955758,2877126.81765171,0.98908290068838,0.876273049072881,1.10150164338713
Switzerland,2023-12-21,IBV-M,3066084.46913899,2877126.81765171,0.989651468609434,0.87799989311917,1.10195640810015
Switzerland,2023-12-22,IBV-M,2877126.81765171,2877126.81765171,0.990277802023939,0.879571639737756,1.10196740889159
Switzerland,2023-12-23,IBV-M,3452927.22892476,2877126.81765171,0.990958443157917,0.880528829903789,1.10153003757257
Switzerland,2023-12-24,IBV-M,2824520.93858348,2824520.93858348,0.991689385918478,0.881786602557775,1.10225210190241
Switzerland,2023-12-25,IBV-M,872127.330431213,2824520.93858348,0.992463211156184,0.882519819912361,1.10325297825134
Switzerland,2023-12-26,IBV-M,1771480.08423968,2453198.74727008,0.993259424252632,0.883910981241274,1.10296478805805
Switzerland,2023-12-27,IBV-M,1480142.2587153,1771480.08423968,0.994053941042129,0.884060339841906,1.10507217444882
Switzerland,2023-12-28,IBV-M,3625750.86764571,1771480.08423968,0.994820388824149,0.885945663492985,1.10747072824641
Switzerland,2023-12-29,IBV-M,2453198.74727008,2426722.65636288,0.99552547372537,0.886114089687618,1.10909063501062
Switzerland,2023-12-30,IBV-M,1480584.1599451,2426722.65636288,0.996134317969814,0.886305426339914,1.10926180839296
Switzerland,2023-12-31,IBV-M,2511102.93384001,2453198.74727008,0.996619338744739,0.88589986904385,1.11107641333445
Switzerland,2024-01-01,IBV-M,2426722.65636288,2426722.65636288,0.996981465724375,0.88544085122905,1.11149429242939
Switzerland,2024-01-02,IBV-M,1916639.41403226,2426722.65636288,0.997228509855596,0.885415773463101,1.11225105864468
Switzerland,2024-01-03,IBV-M,3474849.48780479,2426722.65636288,0.997371665431262,0.883019605487229,1.11322770634062
Switzerland,2024-01-04,IBV-M,1905370.688998,2426722.65636288,0.997435553333803,0.881196576527111,1.11443751174978
Switzerland,2024-01-05,IBV-M,4403181.31954767,3474849.48780479,0.997448425583568,0.880632759936712,1.11538265348425
Switzerland,2024-01-06,IBV-M,2010580.29046997,3546098.26034342,0.997437265837163,0.881004210976855,1.11557164267901
Switzerland,2024-01-07,IBV-M,4993776.02928767,4081129.58904438,0.997425033106189,0.879811626658974,1.11605279188039
Switzerland,2024-01-08,IBV-M,4081129.58904438,4081129.58904438,0.997433776210933,0.878482415198632,1.11752946458337
Switzerland,2024-01-09,IBV-M,3546098.26034342,3546098.26034342,0.997488030984808,0.876904920716741,1.11742073826869
Switzerland,2024-01-10,IBV-M,4298256.49181326,4081129.58904438,0.997621178390177,0.87580180381065,1.1174860762224
Switzerland,2024-01-11,IBV-M,1435538.3117904,3546098.26034342,0.997867934597514,0.874387218061749,1.11866160971618
Switzerland,2024-01-12,IBV-M,1920007.94684232,3248374.78808433,0.998263600721308,0.87247096126297,1.11953162335202
Switzerland,2024-01-13,IBV-M,6204745.97867528,2561743.88202179,0.998848229422002,0.871932566640195,1.1202461136974
Switzerland,2024-01-14,IBV-M,1845160.54728741,1920007.94684232,0.99966234387664,0.872662602929858,1.12164988906041
Switzerland,2024-01-15,IBV-M,3248374.78808433,1978447.01338204,1.0007340588909,0.873770282675323,1.12223713291547
